"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","07/27/2014","07:04:47","","Page /views/_header.cfm [C:\inetpub\wwwroot\33days\views\_header.cfm] not found"
"ERROR","web-0","07/27/2014","07:06:03","","Page /views/more/_more.cfm [C:\inetpub\wwwroot\33days\views\more\_more.cfm] not found"
"ERROR","web-0","07/27/2014","07:06:07","","Page /views/more/_more.cfm [C:\inetpub\wwwroot\33days\views\more\_more.cfm] not found"
"ERROR","web-0","07/27/2014","07:06:51","","Page /views/home/_more.cfm [C:\inetpub\wwwroot\33days\views\Home\_more.cfm] not found"
"ERROR","web-0","07/27/2014","07:07:07","","No matching Method/Function for WORKSHOPSLINK(string)"
"ERROR","web-0","07/27/2014","07:09:16","","Page /views/schedule/_schedule.cfm [C:\inetpub\wwwroot\33days\views\schedule\_schedule.cfm] not found"
"ERROR","web-0","07/27/2014","18:33:54","","variable [biblestudies] doesn't exist"
"ERROR","web-0","07/28/2014","20:13:18","","key [Weeksid] doesn't exist in struct (keys:content,id,deletedAt,subject,weekid,active,day,createdAt,updatedAt)"
"ERROR","web-0","07/28/2014","20:14:35","","Invalid Syntax Closing [#] not found"
"ERROR","web-0","07/28/2014","20:35:31","","Page /views/biblestudies/layout_naked.cfm [C:\inetpub\wwwroot\33days\views\biblestudies\layout_naked.cfm] not found"
"ERROR","web-0","07/29/2014","11:17:00","","Page /views/layout_admin.cfm [C:\inetpub\wwwroot\33days\views\layout_admin.cfm] not found"
"ERROR","web-0","07/29/2014","11:18:38","","Attribute class is not allowed for tag cftable; valid attribute names are [query,maxrows,colspacing,headerlines,htmltable,border,colheaders,startrow]"
"ERROR","web-0","07/30/2014","14:12:23","","variable [CONTENT] doesn't exist"
"ERROR","web-0","07/30/2014","14:12:54","","variable [CONTENT] doesn't exist"
"ERROR","web-0","07/30/2014","14:13:01","","variable [CONTENT] doesn't exist"
"ERROR","web-0","07/30/2014","14:14:00","","variable [CONTENT] doesn't exist"
"ERROR","web-0","07/30/2014","14:14:02","","variable [CONTENT] doesn't exist"
"ERROR","web-0","07/30/2014","14:14:03","","variable [CONTENT] doesn't exist"
"ERROR","web-0","07/30/2014","14:14:29","","variable [CONTENT] doesn't exist"
"ERROR","web-0","07/30/2014","14:19:40","","key [WEEKS] doesn't exist in struct (keys:action,controller,reload,key)"
"ERROR","web-0","07/30/2014","14:20:00","","variable [CONTENT] doesn't exist"
"ERROR","web-0","07/31/2014","10:49:38","","tag [cfreturn] is not closed"
